dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,casual,registered,cnt,season_desc,weather_desc,weekday_desc,month_desc,holiday_desc,workingday_desc,hr
2011-02-16,1,0,2,0,3,1,1,0.318261,0.423478,218,1897,2115,Spring,Clear/Partly Cloudy,Wednesday,Feb,Not Holiday,Working Day,
2011-02-17,1,0,2,0,4,1,1,0.435833,0.505,259,2216,2475,Spring,Clear/Partly Cloudy,Thursday,Feb,Not Holiday,Working Day,
2011-02-18,1,0,2,0,5,1,1,0.521667,0.516667,579,2348,2927,Spring,Clear/Partly Cloudy,Friday,Feb,Not Holiday,Working Day,
2011-02-19,1,0,2,0,6,0,1,0.399167,0.187917,532,1103,1635,Spring,Clear/Partly Cloudy,Saturday,Feb,Not Holiday,Weekend/Holiday,
2011-02-20,1,0,2,0,0,0,1,0.285217,0.407826,639,1173,1812,Spring,Clear/Partly Cloudy,Sunday,Feb,Not Holiday,Weekend/Holiday,
2011-02-21,1,0,2,1,1,0,2,0.303333,0.605,195,912,1107,Spring,Mist/Cloudy,Monday,Feb,Holiday,Weekend/Holiday,
2011-02-22,1,0,2,0,2,1,1,0.182222,0.577778,74,1376,1450,Spring,Clear/Partly Cloudy,Tuesday,Feb,Not Holiday,Working Day,
2011-02-23,1,0,2,0,3,1,1,0.221739,0.423043,139,1778,1917,Spring,Clear/Partly Cloudy,Wednesday,Feb,Not Holiday,Working Day,
2011-02-24,1,0,2,0,4,1,2,0.295652,0.697391,100,1707,1807,Spring,Mist/Cloudy,Thursday,Feb,Not Holiday,Working Day,
2011-02-25,1,0,2,0,5,1,2,0.364348,0.712174,120,1341,1461,Spring,Mist/Cloudy,Friday,Feb,Not Holiday,Working Day,
2011-02-26,1,0,2,0,6,0,1,0.2825,0.537917,424,1545,1969,Spring,Clear/Partly Cloudy,Saturday,Feb,Not Holiday,Weekend/Holiday,
2011-02-27,1,0,2,0,0,0,1,0.343478,0.68,694,1708,2402,Spring,Clear/Partly Cloudy,Sunday,Feb,Not Holiday,Weekend/Holiday,
2011-02-28,1,0,2,0,1,1,2,0.407273,0.876364,81,1365,1446,Spring,Mist/Cloudy,Monday,Feb,Not Holiday,Working Day,
2011-03-01,1,0,3,0,2,1,1,0.266667,0.535,137,1714,1851,Spring,Clear/Partly Cloudy,Tuesday,Mar,Not Holiday,Working Day,
2011-03-02,1,0,3,0,3,1,1,0.335,0.449583,231,1903,2134,Spring,Clear/Partly Cloudy,Wednesday,Mar,Not Holiday,Working Day,
2011-03-03,1,0,3,0,4,1,1,0.198333,0.318333,123,1562,1685,Spring,Clear/Partly Cloudy,Thursday,Mar,Not Holiday,Working Day,
2011-03-04,1,0,3,0,5,1,2,0.261667,0.610417,214,1730,1944,Spring,Mist/Cloudy,Friday,Mar,Not Holiday,Working Day,
2011-03-05,1,0,3,0,6,0,2,0.384167,0.789167,640,1437,2077,Spring,Mist/Cloudy,Saturday,Mar,Not Holiday,Weekend/Holiday,
2011-03-06,1,0,3,0,0,0,2,0.376522,0.948261,114,491,605,Spring,Mist/Cloudy,Sunday,Mar,Not Holiday,Weekend/Holiday,
2011-03-07,1,0,3,0,1,1,1,0.261739,0.551304,244,1628,1872,Spring,Clear/Partly Cloudy,Monday,Mar,Not Holiday,Working Day,
2011-03-08,1,0,3,0,2,1,1,0.2925,0.420833,316,1817,2133,Spring,Clear/Partly Cloudy,Tuesday,Mar,Not Holiday,Working Day,
2011-03-09,1,0,3,0,3,1,2,0.295833,0.775417,191,1700,1891,Spring,Mist/Cloudy,Wednesday,Mar,Not Holiday,Working Day,
2011-03-10,1,0,3,0,4,1,3,0.389091,0.0,46,577,623,Spring,Light Snow/Rain,Thursday,Mar,Not Holiday,Working Day,
2011-03-11,1,0,3,0,5,1,2,0.316522,0.649565,247,1730,1977,Spring,Mist/Cloudy,Friday,Mar,Not Holiday,Working Day,
2011-03-12,1,0,3,0,6,0,1,0.329167,0.594583,724,1408,2132,Spring,Clear/Partly Cloudy,Saturday,Mar,Not Holiday,Weekend/Holiday,
2011-03-13,1,0,3,0,0,0,1,0.384348,0.527391,982,1435,2417,Spring,Clear/Partly Cloudy,Sunday,Mar,Not Holiday,Weekend/Holiday,
2011-03-14,1,0,3,0,1,1,1,0.325217,0.496957,359,1687,2046,Spring,Clear/Partly Cloudy,Monday,Mar,Not Holiday,Working Day,
2011-03-15,1,0,3,0,2,1,2,0.317391,0.655652,289,1767,2056,Spring,Mist/Cloudy,Tuesday,Mar,Not Holiday,Working Day,
2011-03-16,1,0,3,0,3,1,2,0.365217,0.776522,321,1871,2192,Spring,Mist/Cloudy,Wednesday,Mar,Not Holiday,Working Day,
2011-03-17,1,0,3,0,4,1,1,0.415,0.602917,424,2320,2744,Spring,Clear/Partly Cloudy,Thursday,Mar,Not Holiday,Working Day,
2011-03-18,1,0,3,0,5,1,1,0.54,0.525217,884,2355,3239,Spring,Clear/Partly Cloudy,Friday,Mar,Not Holiday,Working Day,
2011-03-19,1,0,3,0,6,0,1,0.4725,0.379167,1424,1693,3117,Spring,Clear/Partly Cloudy,Saturday,Mar,Not Holiday,Weekend/Holiday,
2011-03-20,1,0,3,0,0,0,1,0.3325,0.47375,1047,1424,2471,Spring,Clear/Partly Cloudy,Sunday,Mar,Not Holiday,Weekend/Holiday,
2011-03-21,2,0,3,0,1,1,2,0.430435,0.737391,401,1676,2077,Summer,Mist/Cloudy,Monday,Mar,Not Holiday,Working Day,
2011-03-22,2,0,3,0,2,1,1,0.441667,0.624583,460,2243,2703,Summer,Clear/Partly Cloudy,Tuesday,Mar,Not Holiday,Working Day,
2011-03-23,2,0,3,0,3,1,2,0.346957,0.839565,203,1918,2121,Summer,Mist/Cloudy,Wednesday,Mar,Not Holiday,Working Day,
2011-03-24,2,0,3,0,4,1,2,0.285,0.805833,166,1699,1865,Summer,Mist/Cloudy,Thursday,Mar,Not Holiday,Working Day,
2011-03-25,2,0,3,0,5,1,1,0.264167,0.495,300,1910,2210,Summer,Clear/Partly Cloudy,Friday,Mar,Not Holiday,Working Day,
2011-03-26,2,0,3,0,6,0,1,0.265833,0.394167,981,1515,2496,Summer,Clear/Partly Cloudy,Saturday,Mar,Not Holiday,Weekend/Holiday,
2011-03-27,2,0,3,0,0,0,2,0.253043,0.493913,472,1221,1693,Summer,Mist/Cloudy,Sunday,Mar,Not Holiday,Weekend/Holiday,
2011-03-28,2,0,3,0,1,1,1,0.264348,0.302174,222,1806,2028,Summer,Clear/Partly Cloudy,Monday,Mar,Not Holiday,Working Day,
2011-03-29,2,0,3,0,2,1,1,0.3025,0.314167,317,2108,2425,Summer,Clear/Partly Cloudy,Tuesday,Mar,Not Holiday,Working Day,
2011-03-30,2,0,3,0,3,1,2,0.3,0.646667,168,1368,1536,Summer,Mist/Cloudy,Wednesday,Mar,Not Holiday,Working Day,
2011-03-31,2,0,3,0,4,1,3,0.268333,0.918333,179,1506,1685,Summer,Light Snow/Rain,Thursday,Mar,Not Holiday,Working Day,
2011-04-01,2,0,4,0,5,1,2,0.3,0.68625,307,1920,2227,Summer,Mist/Cloudy,Friday,Apr,Not Holiday,Working Day,
2011-04-02,2,0,4,0,6,0,2,0.315,0.65375,898,1354,2252,Summer,Mist/Cloudy,Saturday,Apr,Not Holiday,Weekend/Holiday,
2011-04-03,2,0,4,0,0,0,1,0.378333,0.48,1651,1598,3249,Summer,Clear/Partly Cloudy,Sunday,Apr,Not Holiday,Weekend/Holiday,
2011-04-04,2,0,4,0,1,1,1,0.573333,0.42625,734,2381,3115,Summer,Clear/Partly Cloudy,Monday,Apr,Not Holiday,Working Day,
2011-04-05,2,0,4,0,2,1,2,0.414167,0.642083,167,1628,1795,Summer,Mist/Cloudy,Tuesday,Apr,Not Holiday,Working Day,
2011-04-06,2,0,4,0,3,1,1,0.390833,0.470833,413,2395,2808,Summer,Clear/Partly Cloudy,Wednesday,Apr,Not Holiday,Working Day,
2011-04-07,2,0,4,0,4,1,1,0.4375,0.602917,571,2570,3141,Summer,Clear/Partly Cloudy,Thursday,Apr,Not Holiday,Working Day,
2011-04-08,2,0,4,0,5,1,2,0.335833,0.83625,172,1299,1471,Summer,Mist/Cloudy,Friday,Apr,Not Holiday,Working Day,
2011-04-09,2,0,4,0,6,0,2,0.3425,0.8775,879,1576,2455,Summer,Mist/Cloudy,Saturday,Apr,Not Holiday,Weekend/Holiday,
2011-04-10,2,0,4,0,0,0,2,0.426667,0.8575,1188,1707,2895,Summer,Mist/Cloudy,Sunday,Apr,Not Holiday,Weekend/Holiday,
2011-04-11,2,0,4,0,1,1,2,0.595652,0.716956,855,2493,3348,Summer,Mist/Cloudy,Monday,Apr,Not Holiday,Working Day,
2011-04-12,2,0,4,0,2,1,2,0.5025,0.739167,257,1777,2034,Summer,Mist/Cloudy,Tuesday,Apr,Not Holiday,Working Day,
2011-04-13,2,0,4,0,3,1,2,0.4125,0.819167,209,1953,2162,Summer,Mist/Cloudy,Wednesday,Apr,Not Holiday,Working Day,
2011-04-14,2,0,4,0,4,1,1,0.4675,0.540417,529,2738,3267,Summer,Clear/Partly Cloudy,Thursday,Apr,Not Holiday,Working Day,
2011-04-15,2,0,4,1,5,0,1,0.446667,0.67125,642,2484,3126,Summer,Clear/Partly Cloudy,Friday,Apr,Holiday,Weekend/Holiday,
2011-04-16,2,0,4,0,6,0,3,0.430833,0.888333,121,674,795,Summer,Light Snow/Rain,Saturday,Apr,Not Holiday,Weekend/Holiday,
2011-04-17,2,0,4,0,0,0,1,0.456667,0.479583,1558,2186,3744,Summer,Clear/Partly Cloudy,Sunday,Apr,Not Holiday,Weekend/Holiday,
2011-04-18,2,0,4,0,1,1,1,0.5125,0.5425,669,2760,3429,Summer,Clear/Partly Cloudy,Monday,Apr,Not Holiday,Working Day,
2011-04-19,2,0,4,0,2,1,2,0.505833,0.665833,409,2795,3204,Summer,Mist/Cloudy,Tuesday,Apr,Not Holiday,Working Day,
2011-04-20,2,0,4,0,3,1,1,0.595,0.614167,613,3331,3944,Summer,Clear/Partly Cloudy,Wednesday,Apr,Not Holiday,Working Day,
2011-04-21,2,0,4,0,4,1,1,0.459167,0.407083,745,3444,4189,Summer,Clear/Partly Cloudy,Thursday,Apr,Not Holiday,Working Day,
2011-04-22,2,0,4,0,5,1,2,0.336667,0.729583,177,1506,1683,Summer,Mist/Cloudy,Friday,Apr,Not Holiday,Working Day,
2011-04-23,2,0,4,0,6,0,2,0.46,0.887917,1462,2574,4036,Summer,Mist/Cloudy,Saturday,Apr,Not Holiday,Weekend/Holiday,
2011-04-24,2,0,4,0,0,0,2,0.581667,0.810833,1710,2481,4191,Summer,Mist/Cloudy,Sunday,Apr,Not Holiday,Weekend/Holiday,
2011-04-25,2,0,4,0,1,1,1,0.606667,0.776667,773,3300,4073,Summer,Clear/Partly Cloudy,Monday,Apr,Not Holiday,Working Day,
2011-04-26,2,0,4,0,2,1,1,0.631667,0.729167,678,3722,4400,Summer,Clear/Partly Cloudy,Tuesday,Apr,Not Holiday,Working Day,
2011-04-27,2,0,4,0,3,1,2,0.62,0.835417,547,3325,3872,Summer,Mist/Cloudy,Wednesday,Apr,Not Holiday,Working Day,
2011-04-28,2,0,4,0,4,1,2,0.6175,0.700833,569,3489,4058,Summer,Mist/Cloudy,Thursday,Apr,Not Holiday,Working Day,
2011-04-29,2,0,4,0,5,1,1,0.51,0.457083,878,3717,4595,Summer,Clear/Partly Cloudy,Friday,Apr,Not Holiday,Working Day,
2011-04-30,2,0,4,0,6,0,1,0.4725,0.503333,1965,3347,5312,Summer,Clear/Partly Cloudy,Saturday,Apr,Not Holiday,Weekend/Holiday,
2011-05-01,2,0,5,0,0,0,2,0.451667,0.762083,1138,2213,3351,Summer,Mist/Cloudy,Sunday,May,Not Holiday,Weekend/Holiday,
2011-05-02,2,0,5,0,1,1,2,0.549167,0.73,847,3554,4401,Summer,Mist/Cloudy,Monday,May,Not Holiday,Working Day,
2011-05-03,2,0,5,0,2,1,2,0.616667,0.697083,603,3848,4451,Summer,Mist/Cloudy,Tuesday,May,Not Holiday,Working Day,
2011-05-04,2,0,5,0,3,1,2,0.414167,0.737083,255,2378,2633,Summer,Mist/Cloudy,Wednesday,May,Not Holiday,Working Day,
2011-05-05,2,0,5,0,4,1,1,0.459167,0.444167,614,3819,4433,Summer,Clear/Partly Cloudy,Thursday,May,Not Holiday,Working Day,
2011-05-06,2,0,5,0,5,1,1,0.479167,0.59,894,3714,4608,Summer,Clear/Partly Cloudy,Friday,May,Not Holiday,Working Day,
2011-05-07,2,0,5,0,6,0,1,0.52,0.54125,1612,3102,4714,Summer,Clear/Partly Cloudy,Saturday,May,Not Holiday,Weekend/Holiday,
2011-05-08,2,0,5,0,0,0,1,0.528333,0.631667,1401,2932,4333,Summer,Clear/Partly Cloudy,Sunday,May,Not Holiday,Weekend/Holiday,
2011-05-09,2,0,5,0,1,1,1,0.5325,0.58875,664,3698,4362,Summer,Clear/Partly Cloudy,Monday,May,Not Holiday,Working Day,
2011-05-10,2,0,5,0,2,1,1,0.5325,0.489167,694,4109,4803,Summer,Clear/Partly Cloudy,Tuesday,May,Not Holiday,Working Day,
2011-05-11,2,0,5,0,3,1,1,0.5425,0.632917,550,3632,4182,Summer,Clear/Partly Cloudy,Wednesday,May,Not Holiday,Working Day,
2011-05-12,2,0,5,0,4,1,1,0.535,0.7475,695,4169,4864,Summer,Clear/Partly Cloudy,Thursday,May,Not Holiday,Working Day,
2011-05-13,2,0,5,0,5,1,2,0.5125,0.863333,692,3413,4105,Summer,Mist/Cloudy,Friday,May,Not Holiday,Working Day,
2011-05-14,2,0,5,0,6,0,2,0.520833,0.9225,902,2507,3409,Summer,Mist/Cloudy,Saturday,May,Not Holiday,Weekend/Holiday,
2011-05-15,2,0,5,0,0,0,2,0.5625,0.867083,1582,2971,4553,Summer,Mist/Cloudy,Sunday,May,Not Holiday,Weekend/Holiday,
2011-05-16,2,0,5,0,1,1,1,0.5775,0.787917,773,3185,3958,Summer,Clear/Partly Cloudy,Monday,May,Not Holiday,Working Day,
2011-05-17,2,0,5,0,2,1,2,0.561667,0.837917,678,3445,4123,Summer,Mist/Cloudy,Tuesday,May,Not Holiday,Working Day,
2011-05-18,2,0,5,0,3,1,2,0.55,0.87,536,3319,3855,Summer,Mist/Cloudy,Wednesday,May,Not Holiday,Working Day,
2011-05-19,2,0,5,0,4,1,2,0.530833,0.829583,735,3840,4575,Summer,Mist/Cloudy,Thursday,May,Not Holiday,Working Day,
2011-05-20,2,0,5,0,5,1,1,0.536667,0.719583,909,4008,4917,Summer,Clear/Partly Cloudy,Friday,May,Not Holiday,Working Day,
2011-05-21,2,0,5,0,6,0,1,0.6025,0.626667,2258,3547,5805,Summer,Clear/Partly Cloudy,Saturday,May,Not Holiday,Weekend/Holiday,
2011-05-22,2,0,5,0,0,0,1,0.604167,0.749583,1576,3084,4660,Summer,Clear/Partly Cloudy,Sunday,May,Not Holiday,Weekend/Holiday,
2011-05-23,2,0,5,0,1,1,2,0.631667,0.81,836,3438,4274,Summer,Mist/Cloudy,Monday,May,Not Holiday,Working Day,
2011-05-24,2,0,5,0,2,1,2,0.66,0.740833,659,3833,4492,Summer,Mist/Cloudy,Tuesday,May,Not Holiday,Working Day,
2011-05-25,2,0,5,0,3,1,1,0.660833,0.69625,740,4238,4978,Summer,Clear/Partly Cloudy,Wednesday,May,Not Holiday,Working Day,
2011-05-26,2,0,5,0,4,1,1,0.708333,0.6775,758,3919,4677,Summer,Clear/Partly Cloudy,Thursday,May,Not Holiday,Working Day,
2011-05-27,2,0,5,0,5,1,1,0.681667,0.65375,871,3808,4679,Summer,Clear/Partly Cloudy,Friday,May,Not Holiday,Working Day,
2011-05-28,2,0,5,0,6,0,1,0.655833,0.729583,2001,2757,4758,Summer,Clear/Partly Cloudy,Saturday,May,Not Holiday,Weekend/Holiday,
2011-05-29,2,0,5,0,0,0,1,0.6675,0.81875,2355,2433,4788,Summer,Clear/Partly Cloudy,Sunday,May,Not Holiday,Weekend/Holiday,
2011-05-30,2,0,5,1,1,0,1,0.733333,0.685,1549,2549,4098,Summer,Clear/Partly Cloudy,Monday,May,Holiday,Weekend/Holiday,
2011-05-31,2,0,5,0,2,1,1,0.775,0.636667,673,3309,3982,Summer,Clear/Partly Cloudy,Tuesday,May,Not Holiday,Working Day,
2011-06-01,2,0,6,0,3,1,2,0.764167,0.677083,513,3461,3974,Summer,Mist/Cloudy,Wednesday,Jun,Not Holiday,Working Day,
2011-06-02,2,0,6,0,4,1,1,0.715,0.305,736,4232,4968,Summer,Clear/Partly Cloudy,Thursday,Jun,Not Holiday,Working Day,
2011-06-03,2,0,6,0,5,1,1,0.62,0.354167,898,4414,5312,Summer,Clear/Partly Cloudy,Friday,Jun,Not Holiday,Working Day,
2011-06-04,2,0,6,0,6,0,1,0.635,0.45625,1869,3473,5342,Summer,Clear/Partly Cloudy,Saturday,Jun,Not Holiday,Weekend/Holiday,
2011-06-05,2,0,6,0,0,0,2,0.648333,0.6525,1685,3221,4906,Summer,Mist/Cloudy,Sunday,Jun,Not Holiday,Weekend/Holiday,
2011-06-06,2,0,6,0,1,1,1,0.678333,0.6,673,3875,4548,Summer,Clear/Partly Cloudy,Monday,Jun,Not Holiday,Working Day,
2011-06-07,2,0,6,0,2,1,1,0.7075,0.597917,763,4070,4833,Summer,Clear/Partly Cloudy,Tuesday,Jun,Not Holiday,Working Day,
2011-06-08,2,0,6,0,3,1,1,0.775833,0.622083,676,3725,4401,Summer,Clear/Partly Cloudy,Wednesday,Jun,Not Holiday,Working Day,
2011-06-09,2,0,6,0,4,1,2,0.808333,0.568333,563,3352,3915,Summer,Mist/Cloudy,Thursday,Jun,Not Holiday,Working Day,
2011-06-10,2,0,6,0,5,1,1,0.755,0.605,815,3771,4586,Summer,Clear/Partly Cloudy,Friday,Jun,Not Holiday,Working Day,
2011-06-11,2,0,6,0,6,0,1,0.725,0.654583,1729,3237,4966,Summer,Clear/Partly Cloudy,Saturday,Jun,Not Holiday,Weekend/Holiday,
2011-06-12,2,0,6,0,0,0,1,0.6925,0.747917,1467,2993,4460,Summer,Clear/Partly Cloudy,Sunday,Jun,Not Holiday,Weekend/Holiday,
2011-06-13,2,0,6,0,1,1,1,0.635,0.494583,863,4157,5020,Summer,Clear/Partly Cloudy,Monday,Jun,Not Holiday,Working Day,
2011-06-14,2,0,6,0,2,1,1,0.604167,0.507083,727,4164,4891,Summer,Clear/Partly Cloudy,Tuesday,Jun,Not Holiday,Working Day,
2011-06-15,2,0,6,0,3,1,1,0.626667,0.471667,769,4411,5180,Summer,Clear/Partly Cloudy,Wednesday,Jun,Not Holiday,Working Day,
2011-06-16,2,0,6,0,4,1,2,0.628333,0.688333,545,3222,3767,Summer,Mist/Cloudy,Thursday,Jun,Not Holiday,Working Day,
2011-06-17,2,0,6,0,5,1,1,0.649167,0.735833,863,3981,4844,Summer,Clear/Partly Cloudy,Friday,Jun,Not Holiday,Working Day,
2011-06-18,2,0,6,0,6,0,1,0.696667,0.670417,1807,3312,5119,Summer,Clear/Partly Cloudy,Saturday,Jun,Not Holiday,Weekend/Holiday,
2011-06-19,2,0,6,0,0,0,2,0.699167,0.666667,1639,3105,4744,Summer,Mist/Cloudy,Sunday,Jun,Not Holiday,Weekend/Holiday,
2011-06-20,2,0,6,0,1,1,2,0.635,0.74625,699,3311,4010,Summer,Mist/Cloudy,Monday,Jun,Not Holiday,Working Day,
2011-06-21,3,0,6,0,2,1,2,0.680833,0.770417,774,4061,4835,Fall,Mist/Cloudy,Tuesday,Jun,Not Holiday,Working Day,
2011-06-22,3,0,6,0,3,1,1,0.733333,0.7075,661,3846,4507,Fall,Clear/Partly Cloudy,Wednesday,Jun,Not Holiday,Working Day,
2011-06-23,3,0,6,0,4,1,2,0.728333,0.703333,746,4044,4790,Fall,Mist/Cloudy,Thursday,Jun,Not Holiday,Working Day,
2011-06-24,3,0,6,0,5,1,1,0.724167,0.573333,969,4022,4991,Fall,Clear/Partly Cloudy,Friday,Jun,Not Holiday,Working Day,
2011-06-25,3,0,6,0,6,0,1,0.695,0.483333,1782,3420,5202,Fall,Clear/Partly Cloudy,Saturday,Jun,Not Holiday,Weekend/Holiday,
2011-06-26,3,0,6,0,0,0,1,0.68,0.513333,1920,3385,5305,Fall,Clear/Partly Cloudy,Sunday,Jun,Not Holiday,Weekend/Holiday,
2011-06-27,3,0,6,0,1,1,2,0.6825,0.658333,854,3854,4708,Fall,Mist/Cloudy,Monday,Jun,Not Holiday,Working Day,
